site,name,room,type,floor,analyte,conc.,category,site typ,OSHA 8hr,season,year,city,zip
040,Teaching Tree,Lesson Prep,office,02,acetonitrile,0.592,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,acetaldehyde,7.59,aldehyde,school/day program,199818.3882,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,acetone,11.418,ketone,school/day program,1010330.579,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,isopropanol,16.59,alcohol,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,methylethylketone,0.533,other,school/day program,200048.537,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,butanol,0.782,alcohol,school/day program,98961.14409,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,a-pinene,0.092,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,b-pinene,0.074,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,limonene,1.866,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,camphene,0.022,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,methane,2.377,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,ethane,60.031,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,ethene,6.061,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,propane,17.491,straight chain,school/day program,997959.1837,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,propene,0.341,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,i-butane,10.156,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,n-butane,3.436,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,ethyne,3.856,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,t-2-butene,0.036,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,1-butene,0.046,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,c-2-butene,0.031,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,cyclopentane,0.148,aromatic,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,i-pentane,3.06,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,n-pentane,3.885,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,t-2-pentene,0.004,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,1-pentene,0.012,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,cis-2-pentene,0.009,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,n-hexane,0.278,straight chain,school/day program,510675.3307,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,isoprene,0.226,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,"2,4 dimethylpentane",0.086,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,n-heptane,0.137,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,benzene,0.223,btex,school/day program,998.5341186,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,cyclohexane,0.072,aromatic,school/day program,305043.9639,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,"2,3-dimethylpentane",0.061,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,2-methylhexane,0.052,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,3-methylhexane,0.058,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,"2,2,4-trimethylpentane",0.024,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,methylcyclohexane,0.05,aromatic,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,"2,3,4-trimethylpentane",0.002,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,toluene,0.479,btex,school/day program,200079.2273,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,2-methylheptane,0.038,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,3-methylheptane,0.023,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,n-octane,0.12,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,ethylbenzene,0.049,btex,school/day program,100186.0399,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,m+p-xylene,0.182,btex,school/day program,100176.6036,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,styrene,0.08,other,school/day program,100006.7211,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,o-xylene,0.061,btex,school/day program,100186.0399,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,n-nonane,0.046,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,isopropylbenzene,0.012,btex,school/day program,49839.83692,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,n-propylbenzene,0.018,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,3-ethyltoluene,0.051,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,4-ethyltoluene,0.03,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,"1,3,5-trimethylbenzene",0.026,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Monkeys,classroom,01,2-ethyltoluene,0.035,btex,school/day program,0,fall,2023,Fort Collins,80524
